Metabolite,RT,MZ,Intensity
0.33_144.0557m/z,0.33,144.0557,1138.853608
0.33_147.0665m/z,0.33,147.0665,1105.951546
0.33_148.0618m/z,0.33,148.0618,1641.296907
0.33_154.0361m/z,0.33,154.0361,416.2938144
0.33_159.0665m/z,0.33,159.0665,3344.191753
0.33_160.8411m/z,0.33,160.8411,10022.35052
0.33_161.0823m/z,0.33,161.0823,438.7824742
0.33_162.0663m/z,0.33,162.0663,79.62783505
0.33_162.8382m/z,0.33,162.8382,9702.060825
0.33_164.8353m/z,0.33,164.8353,2488.257732
0.33_165.9051m/z,0.33,165.9051,190.4721649
0.33_167.8703m/z,0.33,167.8703,159.7360825
0.33_169.0510m/z,0.33,169.051,669.9731959
0.33_170.8700m/z,0.33,170.87,1351.858763
0.33_171.0667m/z,0.33,171.0667,2788.748454
0.33_173.0823m/z,0.33,173.0823,2931.835052
0.33_183.0668m/z,0.33,183.0668,811.5051546
0.33_184.0620m/z,0.33,184.062,3911.737113
0.33_185.0820m/z,0.33,185.082,1115.870103
0.33_186.0778m/z,0.33,186.0778,2849.337113
0.33_196.0623m/z,0.33,196.0623,2164.698969
0.33_198.0780m/z,0.33,198.078,2290.652577
0.33_200.0936m/z,0.33,200.0936,2123.505155
0.33_202.0842m/z,0.33,202.0842,139.4257732
0.33_210.0781m/z,0.33,210.0781,1654.459794
0.33_213.0885m/z,0.33,213.0885,1170.276289
0.33_214.1093m/z,0.33,214.1093,202.3329897
0.33_215.1048m/z,0.33,215.1048,384.0309278
0.33_222.8500m/z,0.33,222.85,984.6010309
0.33_223.0735m/z,0.33,223.0735,1534.447423
0.33_225.0892m/z,0.33,225.0892,2983.223711
0.33_227.1048m/z,0.33,227.1048,1418.5
0.33_235.0738m/z,0.33,235.0738,840.6938144
0.33_237.0894m/z,0.33,237.0894,1867.170103
0.33_239.1051m/z,0.33,239.1051,2611.523711
0.33_241.0956m/z,0.33,241.0956,233.3927835
0.33_241.1207m/z,0.33,241.1207,641.0257732
0.33_249.0895m/z,0.33,249.0895,1059.589691
0.33_251.1053m/z,0.33,251.1053,1068.947423
0.33_252.1006m/z,0.33,252.1006,2084.541237
0.33_253.1210m/z,0.33,253.121,1404.509278
0.33_264.1007m/z,0.33,264.1007,1681.439175
0.33_266.0913m/z,0.33,266.0913,219.028866
0.33_266.1164m/z,0.33,266.1164,1794.680412
0.33_268.1321m/z,0.33,268.1321,481.7731959
0.33_276.1007m/z,0.33,276.1007,833.9804124
