Compound_ID,MZ,RT,Intensity,Metabolite
2.51_77.0393m/z,77.0393,2.51,165.4,
2.54_77.0394m/z,77.0394,2.54,259.27,
8.00_77.0435m/z,77.0435,8,80.22,
8.14_77.0799m/z,77.0799,8.14,9291.18,
8.14_77.0828m/z,77.0828,8.14,27.89,
8.73_79.0187m/z,79.0187,8.73,1018.73,
4.79_79.0220m/z,79.022,4.79,2356.37,
0.34_79.0299m/z,79.0299,0.34,80.22,
1.91_79.0551m/z,79.0551,1.91,517.34,
7.50_79.1256m/z,79.1256,7.5,1232.06,
4.80_80.0254m/z,80.0254,4.8,3.4,
0.34_80.0377m/z,80.0377,0.34,82.39,
5.07_80.0499m/z,80.0499,5.07,698.76,
7.50_80.1318m/z,80.1318,7.5,84942.05,
4.67_80.9487m/z,80.9487,4.67,285.89,
4.36_81.0343m/z,81.0343,4.36,6.88,
1.72_81.0344m/z,81.0344,1.72,17.69,
0.34_81.0455m/z,81.0455,0.34,372.74,
16.00_81.0456m/z,81.0456,16,96.94,
1.88_81.0456m/z,81.0456,1.88,110.58,
0.33_81.0706m/z,81.0706,0.33,28.64,
2.39_81.0707m/z,81.0707,2.39,169.3,
2.32_81.0707m/z,81.0707,2.32,801.26,
1.67_81.0707m/z,81.0707,1.67,14810.76,
7.52_81.1289m/z,81.1289,7.52,13.99,
8.72_81.5214m/z,81.5214,8.72,4439.5,
1.88_81.8908m/z,81.8908,1.88,214.07,
8.60_82.0146m/z,82.0146,8.6,4442.37,
0.04_82.0533m/z,82.0533,0.04,2.97,
0.34_82.0533m/z,82.0533,0.34,9508.25,
1.89_82.0659m/z,82.0659,1.89,72.03,
8.59_82.5379m/z,82.5379,8.59,7915.65,
8.60_83.0384m/z,83.0384,8.6,644.57,
1.81_83.0499m/z,83.0499,1.81,86.55,
3.94_83.0500m/z,83.05,3.94,2737.05,
1.92_83.0500m/z,83.05,1.92,336.41,
1.86_83.0500m/z,83.05,1.86,166.47,
1.74_83.0500m/z,83.05,1.74,34.63,
2.27_83.0500m/z,83.05,2.27,215.11,
0.34_83.0566m/z,83.0566,0.34,434.5,
8.68_83.0612m/z,83.0612,8.68,6715.29,
1.96_83.0612m/z,83.0612,1.96,3635.9,
0.35_83.0862m/z,83.0862,0.35,71.71,
1.86_83.0863m/z,83.0863,1.86,180.09,
2.84_83.0863m/z,83.0863,2.84,1525.92,
3.65_83.0863m/z,83.0863,3.65,2040.91,
1.62_83.0864m/z,83.0864,1.62,10731.03,
12.69_84.0451m/z,84.0451,12.69,316.95,
13.40_84.0451m/z,84.0451,13.4,259.09,
12.30_84.0451m/z,84.0451,12.3,250.26,
12.98_84.0452m/z,84.0452,12.98,385.46,
7.70_84.0452m/z,84.0452,7.7,2307.91,
13.07_84.0452m/z,84.0452,13.07,323.01,
14.92_84.0452m/z,84.0452,14.92,380.56,
5.68_84.0452m/z,84.0452,5.68,573.44,
15.51_84.0452m/z,84.0452,15.51,378.27,
13.33_84.0452m/z,84.0452,13.33,258.4,
12.42_84.0452m/z,84.0452,12.42,376.8,
14.40_84.0452m/z,84.0452,14.4,382.82,
14.33_84.0452m/z,84.0452,14.33,382.99,
4.90_84.0452m/z,84.0452,4.9,47.04,
14.53_84.0452m/z,84.0452,14.53,319.02,
8.10_84.0452m/z,84.0452,8.1,53462.59,
12.90_84.0452m/z,84.0452,12.9,321.91,
16.01_84.0452m/z,84.0452,16.01,322.34,
1.97_84.0452m/z,84.0452,1.97,399.62,
5.29_84.0452m/z,84.0452,5.29,206.69,
4.69_84.0452m/z,84.0452,4.69,16189.84,
4.94_84.0452m/z,84.0452,4.94,62.22,
13.14_84.0452m/z,84.0452,13.14,389.4,
2.27_84.0452m/z,84.0452,2.27,393.8,
14.56_84.0452m/z,84.0452,14.56,320.4,
15.24_84.0452m/z,84.0452,15.24,379.88,
