Compound_ID,MZ,RT,Intensity,Metabolite
QI358,212.1646,3.44,19957.18776,
QI359,212.1648,3.65,2634.531315,
QI360,213.1461,3.52,7293.086444,
QI361,213.185,3.7,5985.838016,
QI362,213.1851,3.89,5274.148158,
QI363,213.1961,3.34,8604.983659,
QI364,214.0071,9.15,3353.908749,
QI365,214.0074,8.53,422.1307621,
QI366,214.0076,11.19,2994.530366,
QI367,214.0082,11.1,3576.265904,
QI368,214.0437,3.4,409.4162998,
QI369,214.0504,2.51,8310.328788,
QI370,214.058,6.44,126.1055055,
QI371,214.058,7.74,406.778221,
QI372,214.0581,10.95,175.5763365,
QI373,214.0582,6.95,493.9546875,
QI374,214.0583,3.57,324.8839174,
QI375,214.0584,14.48,381.6623944,
QI376,214.0584,3.1,150.646422,
QI377,214.0584,7.82,215.2685521,
QI378,214.0584,3.65,280.8813458,
QI379,214.0585,5.51,140.2623406,
QI380,214.0585,14.25,408.6847024,
QI381,214.0586,6.11,416.5088073,
QI382,214.0586,10.74,147.185877,
QI383,214.0586,2.87,189.8774336,
QI384,214.0587,7.86,240.0335577,
QI385,214.0587,14.06,177.1957146,
QI386,214.0587,10.79,164.6150748,
QI387,214.0587,3.77,223.8582691,
QI388,214.0588,3.93,129.6732613,
QI389,214.0588,5.72,253.3133777,
QI390,214.0589,10.92,378.7175596,
QI391,214.0589,10.59,199.1373699,
QI392,214.059,3.7,200.2569698,
QI393,214.059,3.59,112.3258695,
QI394,214.0591,9.97,143.2579843,
QI395,214.0593,5.91,256.0601401,
QI396,214.0594,8.06,95.23494532,
QI397,214.0597,4.93,182.9957428,
QI398,214.0597,12.39,70.39483855,
QI399,214.1192,12.42,168.3181266,
QI400,214.1209,4.37,197.5114556,
QI401,214.121,2.79,398.8717617,
QI402,214.1212,3.12,2601.435192,
QI403,214.1212,3.02,1651.479127,
QI404,214.1212,3.5,895.4673542,
QI405,214.1215,3.33,2389.534598,
QI406,214.1216,2.71,926.4583648,
QI407,214.1217,2.67,1020.836727,
QI408,214.1218,2.6,394.4436738,
QI409,214.1224,2.57,189.992925,
QI410,214.127,13.47,4704.235424,
QI411,214.1272,2.52,1756.708403,
QI412,214.1274,4.46,1413.74462,
QI413,214.1276,7.68,429.0275215,
QI414,214.1278,4.74,1170.934894,
QI415,214.1278,2.89,358.5489577,
QI416,214.1279,4.92,1096.514854,
QI417,214.1279,6.81,98.0304097,
QI418,214.1282,10.29,314.3878062,
QI419,214.1282,7.82,879.4767844,
QI420,214.1283,5.59,477.1091676,
QI421,214.1285,5.99,2233.265273,
QI422,214.1289,2.53,2077.367997,
QI423,214.1289,6.64,692.9068191,
QI424,214.1298,6.24,494.804101,
QI425,214.1318,6.97,115.3512855,
QI426,214.1319,5.78,198.1007349,
QI427,214.1339,3.28,470.2872937,
QI428,214.1341,4.37,591.9903222,
QI429,214.138,4.47,418.8378954,
QI430,214.1391,4.03,7159.064693,
QI431,214.155,3.38,257.6437037,
QI432,214.1683,3.2,2190.050425,
QI433,214.1706,4.66,1899.350333,
QI434,214.1707,6.11,6615.316937,
QI435,214.1708,5.23,3183.385487,
QI436,214.1708,8.66,405.7298522,
QI437,214.171,5.28,2620.255615,
QI438,214.171,7.19,2496.051992,
QI439,214.171,8.77,1253.180275,
QI440,214.1711,7.02,2676.452804,
QI441,214.1711,6.79,2242.439257,
QI442,214.1712,4.58,1749.31752,
QI443,214.1712,5.43,4340.440001,
QI444,214.1713,14.29,6941.722618,
QI445,214.1713,7.22,1769.662769,
QI446,214.1714,6.5,2056.256067,
QI447,214.1714,6.26,5772.335844,
QI448,214.1715,4.5,7229.557522,
QI449,214.1715,2.79,7474.001124,
QI450,214.1715,6.41,1639.873235,
QI451,214.1715,4.02,3582.766317,
QI452,214.1716,2.57,4753.15825,
QI453,214.1716,6.76,3114.208614,
QI454,214.1716,3.62,8697.743166,
QI455,214.1716,14.39,3584.39557,
QI456,214.1717,5.64,13190.37018,
QI457,214.1717,2.85,23345.3444,
QI458,214.1717,6.19,8862.370271,
QI459,214.1717,3.15,14111.48111,
QI460,214.1717,7.71,1731.089406,
QI461,214.1718,4.44,3184.289875,
QI462,214.1718,6.68,3992.465046,
QI463,214.1718,5.85,6711.01099,
QI464,214.1718,14.5,5335.610778,
QI465,214.1718,7.56,2637.367114,
QI466,214.172,4.27,9119.521811,
QI467,214.1723,4.1,4080.970159,
QI468,214.1737,7.29,7152.77539,
QI469,214.1748,3.53,1253.091575,
QI470,214.1788,3.71,2592.683022,
QI471,214.1795,3.46,92601.67588,
QI472,214.2524,3.83,7777.727789,
QI473,214.3799,4.1,265.6097658,
QI474,214.38,6.6,934.3349927,
QI475,214.3801,6.98,310.5018358,
QI476,214.9171,13.72,225162.1743,
QI477,214.9173,14.41,10163.65916,
QI478,214.9174,12.23,4316.830352,
QI479,215.1539,3.43,7710.62032,
QI480,215.1788,11.61,3362.771173,
QI481,215.1788,12.06,3855.761839,
QI482,215.1789,11.74,22900.34177,
QI483,216.0922,2.71,527.6003016,
QI484,216.0922,5.3,623.5381825,
QI485,216.0923,6.11,723.1446461,
QI486,216.0923,3.17,582.7446038,
QI487,216.0923,6.9,767.3099852,
QI488,216.0923,6.55,570.578148,
QI489,216.0923,4.13,552.4255849,
QI490,216.0923,6.97,559.4970472,
QI491,216.0923,6.73,826.3543847,
QI492,216.0923,7.04,779.6577614,
QI493,216.0923,4.62,872.4935477,
QI494,216.0923,3.52,1241.042223,
QI495,216.0923,7.62,412.8555672,
QI496,216.0923,5.86,813.7644376,
QI497,216.0923,7.05,585.1452823,
QI498,216.0923,3.31,792.593446,
QI499,216.0924,3.75,829.3631023,
QI500,216.0924,5.74,372.1271343,
QI501,216.0924,3.58,388.04909,
QI502,216.0924,7.81,470.6521402,
QI503,216.0924,7.3,857.0410422,
QI504,216.0924,3.76,1030.103092,
QI505,216.0924,8,779.948244,
QI506,216.0924,5.13,1010.310375,
QI507,216.0924,5.13,350.2934814,
QI508,216.0924,7.59,810.2935978,
QI509,216.0924,4.06,332.6850453,
QI510,216.0924,5.18,470.0171972,
QI511,216.0924,5.06,673.6995159,
QI512,216.0924,4.94,503.7686543,
QI513,216.0924,10.67,756.4958437,
QI514,216.0924,10.41,576.0138239,
QI515,216.0924,7.94,761.2780092,
QI516,216.0924,9.99,449.0264335,
QI517,216.0924,10.46,958.0567439,
QI518,216.0924,10.21,534.7929099,
QI519,216.0924,10.01,517.0761167,
QI520,216.0924,11.06,433.5270391,
QI521,216.0924,10.75,366.8206699,
QI522,216.0924,10.15,1657.315717,
QI523,216.0924,9.84,1494.883895,
